R-HSA-70729,PR:000025742
R-HSA-166850,PR:000025773
R-HSA-202228,PR:000025777
R-HSA-202362,PR:000025780
R-HSA-166047,PR:000025786
R-HSA-166045,PR:000025787
R-HSA-388756,PR:000025790
R-HSA-170852,PR:000025926
R-HSA-170838,PR:000025927
R-HSA-206827,PR:000025933
R-HSA-177099,PR:000025934
R-HSA-170849,PR:000025959
R-HSA-188378,PR:000025987
R-HSA-159774,PR:000026173
R-HSA-170045,PR:000026181
R-HSA-157415,PR:000026211
R-HSA-170959,PR:000026214
R-HSA-71862,PR:000026215
R-HSA-165685,PR:000026216
R-HSA-354128,PR:000026218
R-HSA-354068,PR:000026219
R-HSA-437953,PR:000026221
R-HSA-444985,PR:000026222
R-HSA-182923,PR:000026223
R-HSA-201464,PR:000026334
R-HSA-201456,PR:000026336
R-HSA-66524,PR:000026337
R-HSA-199844,PR:000026339
R-HSA-212523,PR:000026340
R-HSA-379541,PR:000026359
R-HSA-379548,PR:000026360
R-HSA-83693,PR:000026363
R-HSA-174188,PR:000026372
R-HSA-68557,PR:000026396
R-HSA-68546,PR:000026397
R-HSA-68555,PR:000026398
R-HSA-199972,PR:000026403
R-HSA-199969,PR:000026406
R-HSA-164347,PR:000026408
R-HSA-188010,PR:000026411
R-HSA-65567,PR:000026428
R-HSA-65565,PR:000026429
R-HSA-390452,PR:000026430
R-HSA-83698,PR:000026431
R-HSA-83730,PR:000026432
R-HSA-174091,PR:000026433
R-HSA-68436,PR:000026434
R-HSA-72006,PR:000026435
R-HSA-68558,PR:000026436
R-HSA-199996,PR:000026437
R-HSA-380924,PR:000026438
R-HSA-188015,PR:000026439
R-HSA-68440,PR:000026440
R-HSA-109626,PR:000026441
R-HSA-68507,PR:000026442
R-HSA-109631,PR:000026443
R-HSA-174109,PR:000026444
R-HSA-162460,PR:000026450
R-HSA-68461,PR:000026454
R-HSA-168113,PR:000026457
R-HSA-68462,PR:000026458
R-HSA-391102,PR:000026555
R-HSA-113843,PR:000026623
R-HSA-419526,PR:000026644
R-HSA-190647,PR:000026735
R-HSA-112301,PR:000026737
R-HSA-190632,PR:000026739
R-HSA-113844,PR:000026741
R-HSA-984691,PR:000026743
R-HSA-1641505,PR:000026744
R-HSA-174150,PR:000026755
R-HSA-1234142,PR:000026756
R-HSA-1964450,PR:000026764
R-HSA-1964454,PR:000026766
R-HSA-71786,PR:000026767
R-HSA-68378,PR:000026768
R-HSA-68368,PR:000026769
R-HSA-163700,PR:000026770
R-HSA-206748,PR:000026771
R-HSA-187541,PR:000026772
R-HSA-421107,PR:000026773
R-HSA-163749,PR:000026776
R-HSA-163745,PR:000026777
R-HSA-73859,PR:000026806
